Club_Name,Logo,Country
cesena fc,https://tmssl.akamaized.net/images/wappen/big/1429.png?lm=1539765803,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
gs ergotelis,https://tmssl.akamaized.net/images/wappen/big/5220.png?lm=1576085108,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
balikesirspor,https://tmssl.akamaized.net/images/wappen/big/20698.png?lm=1408654234,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
kayseri erciyesspor,https://tmssl.akamaized.net/images/wappen/big/6894.png?lm=1444097883,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
niki volou,https://tmssl.akamaized.net/images/wappen/big/5572.png?lm=1541924699,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
fc vestsjaelland,https://tmssl.akamaized.net/images/wappen/big/20100.png?lm=1418835868,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
metalurg donetsk,https://tmssl.akamaized.net/images/wappen/big/2783.png?lm=1420985966,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
fc dordrecht,https://tmssl.akamaized.net/images/wappen/big/1455.png?lm=1587280393,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
ud almeria,https://tmssl.akamaized.net/images/wappen/big/3302.png?lm=1408654801,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
fc cordoba,https://tmssl.akamaized.net/images/wappen/big/993.png?lm=1458766826,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
torpedo moskau,https://tmssl.akamaized.net/images/wappen/big/1186.png?lm=1540069728,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
queens park rangers,https://tmssl.akamaized.net/images/wappen/big/1039.png?lm=1464680692,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
lierse sk,https://tmssl.akamaized.net/images/wappen/big/204.png?lm=1448474775,https://tmssl.akamaized.net/images/flagge/medium/19.png?lm=1520611569
fc penafiel,https://tmssl.akamaized.net/images/wappen/big/3327.png?lm=1529665673,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
thonon evian grand geneve fc,https://tmssl.akamaized.net/images/wappen/big/14171.png?lm=1592499295,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
goverla uzhgorod,https://tmssl.akamaized.net/images/wappen/big/6996.png?lm=1420985872,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
metalurg zaporizhya bis 2016 ,https://tmssl.akamaized.net/images/wappen/big/default.png?lm=1539765803,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
panthrakikos komotini,https://tmssl.akamaized.net/images/wappen/big/7185.png?lm=1463177222,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
mersin idmanyurdu,https://tmssl.akamaized.net/images/wappen/big/3216.png?lm=1408653753,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
ael kalloni,https://tmssl.akamaized.net/images/wappen/big/28956.png?lm=1410074459,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
carpi fc 1909,https://tmssl.akamaized.net/images/wappen/big/27531.png?lm=1631169534,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
eskisehirspor,https://tmssl.akamaized.net/images/wappen/big/825.png?lm=1408653830,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
